XMDTENT,XMDTSITE,XMDTDOCNO,XMDTDOCDT,XMDT004,XMDT002,XMDT003,XMDTSTUS,XMDT015
99,DSCNJ,CNJ-P69-201412180001,2014-12-18 00:00:00,00002,00812,D1200,N,2014-12-18 00:00:00
1,SITE-01,01XM51-1408000001,2014-08-28 00:00:00,SY001,00005,A90001,N,2014-08-28 00:00:00
99,DSCNJ,CNJ-HJD-140800000001,2014-08-29 00:00:00,MA01,00821,DC0300,Y,2014-05-30 00:00:00
99,DSCNJ,CNJ-HJD-140800000002,2014-08-29 00:00:00,MA01,00821,DC0300,Y,2014-05-30 00:00:00
99,DSCTC,CTC-HJD-150100000001,2015-01-22 00:00:00,MA01,01588,DC0340,Y,2015-01-01 00:00:00
99,DSCTC,CTC-HJD-150100000002,2015-01-22 00:00:00,MA01,01588,DC0340,Y,2015-01-22 00:00:00
99,DSCTC,CTC-420-150300000001,2015-03-11 00:00:00,MA01,02040,DC0340,N,2015-03-11 00:00:00
99,DSCNJ,CNJ-P69-201504230001,2015-04-23 00:00:00,00002,00792,QC1100,Y,2015-04-23 00:00:00
99,DSCNJ,CNJ-HJD-150700000001,2015-07-06 00:00:00,00002,00000,110104,N,2015-07-06 00:00:00
99,DSCNJ,CNJ-P69-201512110001,2015-12-11 00:00:00,P2001,01680,D2200,N,2015-12-11 00:00:00
99,DSCNJ,CNJ-P69-201511110001,2015-11-11 00:00:00,P151101,01396,D3200,N,2015-11-11 00:00:00
99,DSCNJ,CNJ-HJD-151100000002,2015-11-11 00:00:00,P151101,01396,D3200,Y,2015-11-11 00:00:00
99,DSCNJ,CNJ-HJD-160200000001,2016-02-24 00:00:00,P151101,01396,D3200,Y,2016-02-24 00:00:00
99,DSCTC,CTC-HJD-140500000001,2014-05-29 00:00:00,LP-001,05229,DC0340,N,2014-05-29 00:00:00
99,DSCNJ,CNJ-HJD-140500000001,2014-05-30 00:00:00,MA01,01588,DC0340,Y,2014-05-30 00:00:00
99,DSCNJ,CNJ-HJD-140500000002,2014-05-30 00:00:00,MA01,01588,DC0340,Y,2014-05-30 00:00:00
99,DSCTC,ALB-000001,2014-02-05 00:00:00,LX0029,03080,DC0300,N,2014-02-05 00:00:00
99,DSCTC,CTC-HJ1-140400000002,2014-04-30 00:00:00,131219-002,05229,DC0340,N,2014-04-30 00:00:00
99,DSCTC,CTC-ALB-1402000002,2014-02-06 00:00:00,131220,03080,DC0300,N,2014-02-06 00:00:00
99,,1101-420-1402000002,2014-02-15 00:00:00,C1999,02224,DC0360,N,2014-02-15 00:00:00
99,,1101-420-1402000001,2014-02-15 00:00:00,C1999,02224,DC0360,X,2014-02-15 00:00:00
99,,CNJ-HJD-140400000001,2014-04-09 00:00:00,P2001,01680,DC0360,N,2014-04-09 00:00:00
99,DSCTC,CTC-ALB-140400000001,2014-04-29 00:00:00,131205,05229,DC0340,N,2014-04-29 00:00:00
99,DSCTC,CTC-420-140400000003,2014-04-30 00:00:00,LA1126,05229,DC0340,Y,2014-04-30 00:00:00
99,DSCTC,CTC-ALB-1402000003,2014-02-04 00:00:00,131220,03080,DC0300,N,2014-02-04 00:00:00
99,,CTC-ALB-1402000007,2014-02-21 00:00:00,SS003,01588,DC0310,X,2014-02-21 00:00:00
99,,CNJ-HJD1403000000007,2014-03-06 00:00:00,00000002,01396,DC0360,N,2014-03-06 00:00:00
99,,CNJ-HJD1403000000008,2014-03-05 00:00:00,00000002,01396,DC0360,N,2014-03-05 00:00:00
99,DSCTC,CTC-420-140400000004,2014-04-30 00:00:00,20131220,05229,DC0340,N,2014-04-30 00:00:00
99,,CTC-ALB-1402000005,2014-02-18 00:00:00,SS006,02750,DC0300,X,2014-02-18 00:00:00
99,,CTC-ALB-1402000006,2014-02-18 00:00:00,SS006,02750,DC0300,N,2014-02-18 00:00:00
99,,CTC-ALB-1403000001,2014-03-03 00:00:00,BG005,03080,DC0300,N,2014-03-03 00:00:00
99,,CNJ-HJD-140300000001,2014-03-05 00:00:00,00000002,01396,DC0360,N,2014-03-05 00:00:00
99,,CNJ-HJ1-140300000001,2014-03-05 00:00:00,00000002,01396,DC0360,N,2014-03-05 00:00:00
99,,CNJ-HJD-140300000002,2014-03-05 00:00:00,00000002,01396,DC0360,Y,2014-03-05 00:00:00
99,,CNJ-HJD-140300000003,2014-03-05 00:00:00,00000002,01396,DC0360,N,2014-03-05 00:00:00
