XMDUENT,XMDUSITE,XMDUDOCNO,XMDUSEQ,XMDU002,XMDU008,XMDU011
99,DSCTC,CTC-HJD-150100000002,3.0,YS01,PC,10.0
99,DSCTC,CTC-420-150300000001,1.0,YS01,PC,50.0
99,DSCTC,CTC-420-150300000001,2.0,00531m004,PC,20.0
99,DSCNJ,CNJ-P69-201504230001,1.0,00002,EA,11.0
99,DSCNJ,CNJ-HJD-150700000001,1.0,00000,PC,99.0
99,DSCNJ,CNJ-HJD-150700000001,2.0,00002,EA,70.0
99,DSCNJ,CNJ-P69-201512110001,1.0,A016801401001,PC,2.0
99,DSCNJ,CNJ-P69-201511110001,1.0,C013961511001,PC,128.7
99,DSCNJ,CNJ-HJD-151100000002,1.0,00000,PC,110.0
99,DSCNJ,CNJ-HJD-160200000001,1.0,A013961512001,PC,100.0
99,DSCTC,CTC-HJD-140500000001,1.0,00000,CARTON,1000.0
99,DSCNJ,CNJ-HJD-140500000001,1.0,YS01,PC,0.0
99,DSCNJ,CNJ-HJD-140500000001,2.0,YS01,PC,10.0
99,DSCNJ,CNJ-HJD-140500000001,3.0,YS01,PC,11.0
99,DSCNJ,CNJ-HJD-140500000001,4.0,YS01,PC,0.0
99,DSCNJ,CNJ-HJD-140500000002,1.0,YS02,PC,15.0
99,DSCNJ,CNJ-HJD-140500000002,2.0,YS02,PC,0.0
99,DSCTC,CTC-HJ1-140400000002,1.0,A0002,PC,123.0
99,,CTC-ALB-140300000002,1.0,800002,DAL,1.0
99,DSCTC,CTC-HJ1-140400000002,2.0,800041,L,456.0
99,DSCTC,CTC-HJ1-140400000002,3.0,800045,EA,123.0
99,,ALB,1.0,01396-R01,,13.0
99,,ALB,2.0,1E01BKS00000125,,10.0
99,,CTC-ALB-1402000002,1.0,01396-R01,PC,99.0
99,,CTC-ALB-1402000002,2.0,01396-R01,PC,2.0
99,,CNJ-HJD-140400000001,1.0,C016801401001,PC,1000.0
99,DSCTC,CTC-ALB-140400000001,1.0,7,CAL,5555.0
99,DSCTC,CTC-420-140400000003,1.0,2M01ACE000001,PAIR,90.0
99,DSCTC,CTC-420-140400000003,2.0,119110,CAS,888.0
99,,CTC-ALB-1402000007,1.0,SS001,PC,98.0
99,,CTC-ALB-1402000007,2.0,SS001,KPCS,100.0
99,,CTC-ALB-1402000007,3.0,SS001,KPCS,1.0
99,,CNJ-HJD1403000000007,1.0,1E01BKS00000125,PC,0.0
99,,CNJ-HJD1403000000007,2.0,21000-01,PC,0.0
99,,CNJ-HJD1403000000008,1.0,01396-R01,PC,5.0
99,DSCTC,CTC-420-140400000004,1.0,800004,DM,9999.0
99,DSCTC,CTC-420-140400000004,2.0,800043,HM,123.0
99,,CTC-ALB-1402000003,1.0,01396-R01,,0.0
99,,CTC-ALB-1402000003,2.0,01396-R01,,17.0
99,,CTC-ALB-1402000006,1.0,1E01BKS00000125,BAG,0.0
99,,CNJ-HJD-140300000001,1.0,01396-R01,PC,9.0
99,,CNJ-HJ1-140300000001,1.0,01396-R01,PC,5.0
99,,CNJ-HJD-140300000002,-1.0,01396-R01,PC,6.0
99,,CTC-420-140400000001,1.0,119110,ARK,1000.0
99,,CNJ-HJD-140300000004,1.0,01396-R01,PC,5.0
